ID	ouverture	angle	angle	ouverture
460	89.7	60.0823509	45.9	72.26628791
461	89.8	60.1538575	46	72.36442951
462	89.9	60.22538806	46.1	72.47689609
463	90	60.29694254	46.2	72.57557142
464	90.1	60.36852089	46.3	72.68864894
465	90.2	60.44012308	46.4	72.80205309
466	90.3	60.51174905	46.5	72.90155009
467	90.4	60.58339876	46.6	73.01556817
468	90.5	60.65507216	46.7	73.11560321
469	90.6	60.72676923	46.8	73.23023716
470	90.7	60.7984899	46.9	73.34520036
471	90.8	60.87023413	47	73.44606369
472	90.9	60.94200189	47.1	73.56164573
473	91	61.01379312	47.2	73.66305139
474	91.1	61.08560778	47.3	73.77925421
475	91.2	61.15744583	47.4	73.8812039
476	91.3	61.22930722	47.5	73.99802942
477	91.4	61.30119192	47.6	74.10052481
478	91.5	61.35871642	47.7	74.21797496
479	91.6	61.43064293	47.8	74.32101774
480	91.7	61.50259263	47.9	74.43909444
481	91.8	61.57456545	48	74.54268629
482	91.9	61.64656136	48.1	74.66139145
483	92	61.71858031	48.2	74.76553404
484	92.1	61.79062226	48.3	74.88486957
485	92.2	61.86268716	48.4	74.98956458
486	92.3	61.93477497	48.5	75.10953239
487	92.4	61.99246168	48.6	75.21478147
488	92.5	62.06459061	48.7	75.33538347
489	92.6	62.13674233	48.8	75.44118829
490	92.7	62.20891678	48.9	75.56242636
491	92.8	62.28111393	49	75.66878857
492	92.9	62.35333373	49.1	75.79066461
493	93	62.41112585	49.2	75.89758586
494	93.1	62.4833863	49.3	76.02010175
495	93.2	62.55566928	49.4	76.1275837
496	93.3	62.62797475	49.5	76.23532787
497	93.4	62.70030265	49.6	76.3587856
498	93.5	62.75818109	49.7	76.46709286
499	93.6	62.83054926	49.8	76.59119506
500	93.7	62.90293974	49.9	76.70006706
501	93.8	62.97535249	50	76.8248156
502	93.9	63.03329869	50.1	76.93425395
503	94	63.10575141	50.2	77.04395715
504	94.1	63.17822627	50.3	77.16965701
505	94.2	63.25072322	50.4	77.27992895
506	94.3	63.30873666	50.5	77.39046685
507	94.4	63.38127328	50.6	77.517122
508	94.5	63.45383186	50.7	77.628231
509	94.6	63.52641238	50.8	77.75553975
510	94.7	63.58449254	50.9	77.86722146
511	94.8	63.65711241	51	77.97917097
512	94.9	63.72975408	51.1	78.10744164
513	95	63.78788309	51.2	78.2199662
514	95.1	63.86056389	51.3	78.33275966
